Table : Therapeutic categories for drugs provided, prescribed, or continued, at ambulatory care visits, by number of occurences per 100 drug mention, United States, 2007               
                  
Therapeutic drug category                                | Number of occurences per 100 drug mention
All occurrences. . . . . . . . . . . . . . . . . . . . . | 113.1
Anti-infectives. . . . . . . . . . . . . . . . . . . . . |   7.6
   Amebicides. . . . . . . . . . . . . . . . . . . . . . |   0.2
   Antifungals . . . . . . . . . . . . . . . . . . . . . |   0.2
      Azole antifungals. . . . . . . . . . . . . . . . . |   0.2
      Miscellaneous antifungals. . . . . . . . . . . . . |   0.0
   Antimalarial agents . . . . . . . . . . . . . . . . . |   0.4
      Antimalarial quinolines. . . . . . . . . . . . . . |   0.1
      Miscellaneous antimalarials. . . . . . . . . . . . |   0.2
   Antituberculosis agents . . . . . . . . . . . . . . . |   0.0
      Nicotinic acid derivatives . . . . . . . . . . . . |   0.0
      Rifamycin derivatives. . . . . . . . . . . . . . . |   0.0
   Antiviral agents. . . . . . . . . . . . . . . . . . . |   0.4
      Protease inhibitors. . . . . . . . . . . . . . . . |   0.0
      NRTIs. . . . . . . . . . . . . . . . . . . . . . . |   0.0
      NNRTIs . . . . . . . . . . . . . . . . . . . . . . |   0.0
      Adamantane antivirals. . . . . . . . . . . . . . . |   0.0
      Purine nucleosides . . . . . . . . . . . . . . . . |   0.2
      Neuraminidase inhibitors . . . . . . . . . . . . . |   0.0
      Antiviral combinations . . . . . . . . . . . . . . |   0.0
   Cephalosporins. . . . . . . . . . . . . . . . . . . . |   1.1
      First generation cephalosporins. . . . . . . . . . |   0.6
      Second generation cephalosporins . . . . . . . . . |   0.1
      Third generation cephalosporins. . . . . . . . . . |   0.4
      Fourth generation cephalosporins . . . . . . . . . |   0.0
   Leprostatics. . . . . . . . . . . . . . . . . . . . . |   0.0
   Macrolide derivatives . . . . . . . . . . . . . . . . |   1.1
      Macrolides . . . . . . . . . . . . . . . . . . . . |   1.1
   Miscellaneous antibiotics . . . . . . . . . . . . . . |   1.0
   Penicillins . . . . . . . . . . . . . . . . . . . . . |   1.7
      Penicillinase resistant penicillins. . . . . . . . |   0.0
      Aminopenicillins . . . . . . . . . . . . . . . . . |   1.0
      Beta-lactamase inhibitors. . . . . . . . . . . . . |   0.5
      Natural penicillins. . . . . . . . . . . . . . . . |   0.1
      Quinolones . . . . . . . . . . . . . . . . . . . . |   1.2
      Sulfonamides . . . . . . . . . . . . . . . . . . . |   0.5
      Tetracyclines. . . . . . . . . . . . . . . . . . . |   0.3
      Urinary anti-infectives. . . . . . . . . . . . . . |   0.1
      Aminoglycosides. . . . . . . . . . . . . . . . . . |   0.0
      Lincomycin derivatives . . . . . . . . . . . . . . |   0.2
Antineoplastics. . . . . . . . . . . . . . . . . . . . . |   1.1
   Alkylating agents . . . . . . . . . . . . . . . . . . |   0.1
      Antibiotics/antineoplastics. . . . . . . . . . . . |   0.0
      Antimetabolites. . . . . . . . . . . . . . . . . . |   0.3
      Hormones/antineoplastics . . . . . . . . . . . . . |   0.5
      Miscellaneous antineoplastics. . . . . . . . . . . |   0.1
      Mitotic inhibitors . . . . . . . . . . . . . . . . |   0.0
      Antineoplastic monoclonal antibodies . . . . . . . |   0.1
      Tyrosine kinase inhibitors . . . . . . . . . . . . |   0.0
Biologicals. . . . . . . . . . . . . . . . . . . . . . . |   0.2
   Colony stimulating factors. . . . . . . . . . . . . . |   0.0
   Recombinant human erythropoietins . . . . . . . . . . |   0.1
Cardiovascular agents. . . . . . . . . . . . . . . . . . |  15.4
   Angiotensin converting enzyme inhibitors. . . . . . . |   2.6
   Antiadrenergic agents, peripherally acting. . . . . . |   0.6
   Antiadrenergic agents, centrally acting . . . . . . . |   0.2
   Antianginal agents. . . . . . . . . . . . . . . . . . |   0.4
   Antiarrhythmic agents . . . . . . . . . . . . . . . . |   0.6
   Beta-adrenergic blocking agents . . . . . . . . . . . |   3.3
      Cardioselective beta blockers. . . . . . . . . . . |   2.5
      Non-cardioselective beta blockers. . . . . . . . . |   0.7
   Calcium channel blocking agents . . . . . . . . . . . |   1.5
   Diuretics . . . . . . . . . . . . . . . . . . . . . . |   2.7
      Loop diuretics . . . . . . . . . . . . . . . . . . |   1.3
      Potassium-sparing diuretics. . . . . . . . . . . . |   0.3
      Thiazide diuretics . . . . . . . . . . . . . . . . |   1.2
      Carbonic anhydrase inhibitors. . . . . . . . . . . |   0.0
   Inotropic agents. . . . . . . . . . . . . . . . . . . |   0.3
   Miscellaneous cardiovascular agents . . . . . . . . . |   0.0
   Vasodilators. . . . . . . . . . . . . . . . . . . . . |   0.4
   Vasopressors. . . . . . . . . . . . . . . . . . . . . |   0.2
   Antihypertensive combinations . . . . . . . . . . . . |   1.3
   Angiotensin II inhibitors . . . . . . . . . . . . . . |   1.4
   Agents for pulmonary hypertension . . . . . . . . . . |   0.1
   Aldosterone receptor antagonists. . . . . . . . . . . |   0.2
Central nervous system agents. . . . . . . . . . . . . . |  22.7
   Analgesics. . . . . . . . . . . . . . . . . . . . . . |  13.1
      Miscellaneous analgesics . . . . . . . . . . . . . |   1.7
      Narcotic analgesics. . . . . . . . . . . . . . . . |   1.5
