Table : Percent distribution of setting type according to diagnosis group, in ambulatory care visits, in United States, 2006–2007

Diagnosis group                                                        | Percent
All  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 100.0
Infectious and parasitic diseases. . . . . . . . . . . . . . . . . . . |   2.6
   Streptococcal sore throat . . . . . . . . . . . . . . . . . . . . . |   0.4
   Human immunodeficiency virus disease (HIV). . . . . . . . . . . . . |   0.1
   Viral warts . . . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.2
   Unspecified viral and chlamydial infection. . . . . . . . . . . . . |   0.5
   Dermatophytosis . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.2
   Candidiasis . . . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.1
   Other infectious and parasitic diseases . . . . . . . . . . . . . . |   0.9
Neoplasms. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |   3.2
   Malignant neoplasms of colon and rectum . . . . . . . . . . . . . . |   0.2
   Malignant neoplasm of skin. . . . . . . . . . . . . . . . . . . . . |   0.4
   Malignant neoplasm of breast. . . . . . . . . . . . . . . . . . . . |   0.4
   Malignant neoplasm of prostate. . . . . . . . . . . . . . . . . . . |   0.3
   Malignant neoplasm of lymphatic and hematopoietic tissue. . . . . . |   0.3
   Other malignant neoplasms . . . . . . . . . . . . . . . . . . . . . |   0.7
   Benign neoplasm of skin . . . . . . . . . . . . . . . . . . . . . . |   0.3
   Other benign neoplasm . . . . . . . . . . . . . . . . . . . . . . . |   0.4
   Neoplasm of uncertain behavior and unspecified nature . . . . . . . |   0.2
Endocrine, nutritional and metabolic diseases, immunity disorders. . . |   4.9
   Acquired hypothyroidism . . . . . . . . . . . . . . . . . . . . . . |   0.3
   Other disorders of thyroid gland. . . . . . . . . . . . . . . . . . |   0.2
   Diabetes mellitus . . . . . . . . . . . . . . . . . . . . . . . . . |   2.4
   Disorders of lipoid metabolism. . . . . . . . . . . . . . . . . . . |   0.9
   Obesity . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.5
   Other endocrine, nutritional/metabolic diseases, immunity disorders |   0.6
Diseases of the blood and blood-forming organs . . . . . . . . . . . . |   0.6
   Anemias . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.5
   Other diseases of the blood and blood-forming organs. . . . . . . . |   0.2
Mental disorders . . . . . . . . . . . . . . . . . . . . . . . . . . . |   5.0
   Schizophrenic disorders . . . . . . . . . . . . . . . . . . . . . . |   0.2
   Major depressive disorder . . . . . . . . . . . . . . . . . . . . . |   0.7
   Other psychoses . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.8
   Anxiety states. . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.6
   Neurotic depression . . . . . . . . . . . . . . . . . . . . . . . . |   0.4
   Alcohol dependence syndrome . . . . . . . . . . . . . . . . . . . . |   0.0
   Drug dependence and nondependent abuse of drugs . . . . . . . . . . |   0.2
   Acute reaction to stress and adjustment reaction. . . . . . . . . . |   0.3
   Depressive disorder, not elsewhere classified . . . . . . . . . . . |   0.7
   Attention deficit disorder. . . . . . . . . . . . . . . . . . . . . |   0.6
   Other mental disorders. . . . . . . . . . . . . . . . . . . . . . . |   0.4
Diseases of the nervous system and sense organs. . . . . . . . . . . . |   8.9
   Migraine. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.5
   Other disorders of the central nervous system . . . . . . . . . . . |   1.1
   Carpal tunnel syndrome. . . . . . . . . . . . . . . . . . . . . . . |   0.2
   Other disorders of the peripheral nervous system. . . . . . . . . . |   0.3
   Retinal detachment and other retinal disorders. . . . . . . . . . . |   0.4
   Glaucoma. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.9
   Cataract. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.9
   Disorders of refraction and accommodation . . . . . . . . . . . . . |   0.3
   Conjunctivitis. . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.5
   Disorder of eyelids . . . . . . . . . . . . . . . . . . . . . . . . |   0.2
   Other disorders of the eye and adnexa . . . . . . . . . . . . . . . |   1.1
   Disorders of external ear . . . . . . . . . . . . . . . . . . . . . |   0.4
   Otitis media and eustachian tube disorders. . . . . . . . . . . . . |   1.5
   Other disorders of the ear and mastoid process. . . . . . . . . . . |   0.6
Diseases of the circulatory system . . . . . . . . . . . . . . . . . . |   7.5
   Angina pectoris . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.1
   Coronary atherosclerosis. . . . . . . . . . . . . . . . . . . . . . |   0.8
   Other ischemic heart disease. . . . . . . . . . . . . . . . . . . . |   0.2
   Cardiac dysrhythmias. . . . . . . . . . . . . . . . . . . . . . . . |   0.6
   Congestive heart failure. . . . . . . . . . . . . . . . . . . . . . |   0.3
   Other heart disease . . . . . . . . . . . . . . . . . . . . . . . . |   0.5
   Essential hypertension. . . . . . . . . . . . . . . . . . . . . . . |   3.7
   Cerebrovascular disease . . . . . . . . . . . . . . . . . . . . . . |   0.3
   Diseases of the arteries, arterioles and capillaries. . . . . . . . |   0.3
   Hemorrhoids . . . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.2
   Other diseases of the circulatory system. . . . . . . . . . . . . . |   0.5
Diseases of the respiratory system . . . . . . . . . . . . . . . . . . |  10.9
   Acute sinusitis . . . . . . . . . . . . . . . . . . . . . . . . . . |   0.4
   Acute pharyngitis . . . . . . . . . . . . . . . . . . . . . . . . . |   1.0
   Acute tonsillitis . . . . . . . . . . . . . . . . . . . . . . . . . |   0.2
   Acute bronchitis and bronchiolitis. . . . . . . . . . . . . . . . . |   0.4
   Other acute respiratory infections. . . . . . . . . . . . . . . . . |   2.4
   Chronic sinusitis . . . . . . . . . . . . . . . . . . . . . . . . . |   1.2
   Allergic rhinitis . . . . . . . . . . . . . . . . . . . . . . . . . |   1.1
