Table : Percent distribution of setting type according to diagnosis group, by primary care offices, in United States, 2006–2007

Diagnosis group                                                        | Percent
--------------------------------------------------------------------------------
All  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 47.4
Infectious and parasitic diseases. . . . . . . . . . . . . . . . . . . | 61.2
   Streptococcal sore throat . . . . . . . . . . . . . . . . . . . . . | 81.5
   Human immunodeficiency virus disease (HIV). . . . . . . . . . . . . | 25.5
   Viral warts . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 45.3
   Unspecified viral and chlamydial infection. . . . . . . . . . . . . | 68.1
   Dermatophytosis . . . . . . . . . . . . . . . . . . . . . . . . . . | 66.7
   Candidiasis . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 68.5
   Other infectious and parasitic diseases . . . . . . . . . . . . . . | 53.7
Neoplasms. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 14.7
   Malignant neoplasms of colon and rectum . . . . . . . . . . . . . . | 
   Malignant neoplasm of skin. . . . . . . . . . . . . . . . . . . . . | 
   Malignant neoplasm of breast. . . . . . . . . . . . . . . . . . . . | 9.0
   Malignant neoplasm of prostate. . . . . . . . . . . . . . . . . . . | 
   Malignant neoplasm of lymphatic and hematopoietic tissue. . . . . . | 
   Other malignant neoplasms . . . . . . . . . . . . . . . . . . . . . | 10.7
   Benign neoplasm of skin . . . . . . . . . . . . . . . . . . . . . . | 20.4
   Other benign neoplasm . . . . . . . . . . . . . . . . . . . . . . . | 44.1
   Neoplasm of uncertain behavior and unspecified nature . . . . . . . | 
Endocrine, nutritional and metabolic diseases, immunity disorders. . . | 64.4
   Acquired hypothyroidism . . . . . . . . . . . . . . . . . . . . . . | 80.6
   Other disorders of thyroid gland. . . . . . . . . . . . . . . . . . | 50.3
   Diabetes mellitus . . . . . . . . . . . . . . . . . . . . . . . . . | 63.1
   Disorders of lipoid metabolism. . . . . . . . . . . . . . . . . . . | 80.9
   Obesity . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 55.8
   Other endocrine, nutritional/metabolic diseases, immunity disorders | 46.0
Diseases of the blood and blood-forming organs . . . . . . . . . . . . | 41.4
   Anemias . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 41.8
   Other diseases of the blood and blood-forming organs. . . . . . . . | 40.2
Mental disorders . . . . . . . . . . . . . . . . . . . . . . . . . . . | 30.8
